asset_id,trade_date,open,high,low,close,volume,adj_factor
SSE:600000,2024-01-02,23.362,24.127,23.236,24.051,1239982,1.000000
SSE:600000,2024-01-03,23.885,24.025,23.757,23.865,1524680,1.000000
SSE:600000,2024-01-04,23.814,23.944,22.916,23.030,3281423,1.000000
SSE:600000,2024-01-05,23.047,23.172,22.856,22.908,2668088,1.000000
SSE:600000,2024-01-08,22.799,23.208,22.643,23.122,1688152,1.000000
SSE:600000,2024-01-09,23.102,23.149,22.196,22.353,2250811,1.000000
SSE:600000,2024-01-10,22.614,22.960,22.456,22.827,294362,1.000000
SSE:600000,2024-01-11,22.789,23.077,22.668,22.990,2852784,1.000000
SSE:600000,2024-01-12,22.895,23.131,22.758,23.093,1956973,1.000000
SSE:600000,2024-01-15,23.183,24.206,23.012,24.110,1227906,1.000000
SSE:600000,2024-01-16,24.031,24.191,23.533,23.694,2745258,1.000000
SSE:600000,2024-01-17,23.690,24.020,23.593,23.932,1636013,1.000000
SSE:600000,2024-01-18,23.949,24.144,23.116,23.225,1905089,1.000000
SSE:600000,2024-01-19,23.245,23.499,23.180,23.402,2343005,1.000000
SSE:600000,2024-01-22,23.287,24.354,23.247,24.299,3378932,1.000000
SSE:600000,2024-01-23,24.441,24.509,24.041,24.206,2514661,1.000000
SSE:600000,2024-01-24,24.190,24.327,23.933,23.985,2072467,1.000000
SSE:600000,2024-01-25,23.980,24.460,23.802,24.379,1297478,1.000000
SSE:600000,2024-01-26,24.249,24.372,24.048,24.193,1737861,1.000000
SSE:600000,2024-01-29,24.322,24.920,24.167,24.803,1820912,1.000000
SSE:600000,2024-01-30,24.696,25.095,24.584,24.966,4013979,1.000000
SSE:600000,2024-01-31,24.937,26.187,24.783,26.133,2252484,1.000000
SSE:600000,2024-02-01,26.064,26.942,25.925,26.923,1150068,1.000000
SSE:600000,2024-02-02,27.044,27.174,26.361,26.588,826363,1.000000
SSE:600000,2024-02-05,26.471,28.238,26.493,27.996,1062746,1.000000
SSE:600000,2024-02-06,28.189,28.274,27.606,27.758,2621870,1.000000
SSE:600000,2024-02-07,27.743,28.134,27.592,28.071,1786890,1.000000
SSE:600000,2024-02-08,28.124,28.446,27.992,28.248,2281405,1.000000
SSE:600000,2024-02-09,28.166,28.461,28.020,28.301,3674534,1.000000
SSE:600000,2024-02-12,28.215,29.494,28.141,29.413,2210199,1.000000
SSE:600000,2024-02-13,29.522,29.953,29.309,29.777,1622780,1.000000
SSE:600000,2024-02-14,29.742,30.131,29.579,29.988,2122050,1.000000
SSE:600000,2024-02-15,29.959,31.257,29.827,31.090,1702468,1.000000
SSE:600000,2024-02-16,31.305,31.366,29.668,29.765,1737179,1.000000
SSE:600000,2024-02-19,29.725,29.964,29.611,29.738,3385849,1.000000
SSE:600000,2024-02-20,29.945,30.796,29.845,30.616,1762743,1.000000
SSE:600000,2024-02-21,30.737,30.819,30.579,30.684,1847479,1.000000
SSE:600000,2024-02-22,30.907,31.790,30.656,31.586,1946437,1.000000
SSE:600000,2024-02-23,31.777,31.976,30.497,30.694,1189026,1.000000
